27 30
西门 河南农业大学许昌校区的大门
教学楼a 二楼农大图文；三楼机房；四楼机房
教学楼b 目前教室处于封锁状态
教学楼c 学生日常上课地点
图书室 学生读书和学习的地方
老兵餐厅一楼 学生就餐的地方
老兵餐厅二楼 打乒乓球的地方
宿舍楼1 学生休息的地方
宿舍楼2 学生休息的地方
宿舍楼3 学生休息的地方
宿舍楼4 学生休息的地方
宿舍楼5 学生休息的地方
宿舍楼6 学生休息的地方
升旗点 学生升旗的地方
足球场 学生跑操和锻炼的场所
羽毛球场 学生打羽毛球的地方
篮球场 学生打篮球的地方
一个水沟 哈哈，就是水沟啦
花园 学校的绿化场所
热水房 接热水的地方，免费
热水房二楼浴室 男生沐浴的地方
热水房三楼浴室 女生沐浴的地方
试验田 学生做实验的地方
快递站 学生取快递地方
润德超市 学生买生活用品地方
教师公寓 教师的生活场所
教学楼a203 闲的没事去的地方
西门 老兵餐厅一楼 100
西门 足球场 400
西门 篮球场 500
西门 教学楼a 500
西门 教学楼b 550
西门 教学楼c 600
西门 图书室 510
西门 老兵餐厅二楼 110
西门 宿舍楼1 250
西门 宿舍楼2 300
西门 宿舍楼3 200
西门 宿舍楼4 250
西门 宿舍楼5 400
西门 宿舍楼6 420
西门 升旗点 200
西门 羽毛球场 600
西门 一个水沟 900
西门 花园 700
西门 热水房 150
西门 热水房二楼浴室 160
西门 热水房三楼浴室 160
西门 试验田 1100
西门 快递站 350
西门 润德超市 200
西门 教师公寓 180
西门 教学楼a203 510 
教学楼a 足球场 100
教学楼a 图书室 10
教学楼a 教学楼a203 10
教学楼a 教学路b 50
教学楼b 教学楼c 50
教学楼c 羽毛球场 100
图书室 花园 200
老兵餐厅一楼 老兵餐厅二楼 10
老兵餐厅二楼 老兵餐厅一楼 10
老兵餐厅一楼 热水房 50
老兵餐厅一楼 润德超市 100 
老兵餐厅一楼 宿舍楼3 100
老兵餐厅一楼 教师公寓 80
老兵餐厅二楼 宿舍楼1 150
老兵餐厅二楼 升旗点 100
宿舍楼1 宿舍楼2 50
宿舍楼2 宿舍楼5 100
宿舍楼2 快递站 50
宿舍楼3 宿舍楼4 50
宿舍楼5 宿舍楼6 20
升旗点 足球场 100
足球场 羽毛球场 200
羽毛球场 篮球场 450
羽毛球场 试验田 500
一个水沟 花园 200
热水房 热水房二楼浴室 10
热水房 热水房三楼浴室 10
热水房二楼浴室 快递站 200
